name,state_fp,clinton,trump,votes,winner
Alabama,01,718084,1306925,9,Trump
Alaska,02,93007,130415,3,Trump
Arizona,04,933655,1017166,11,Trump
Arkansas,05,378729,677904,6,Trump
California,06,5589936,3021095,55,Clinton
Colorado,08,1212209,1137455,9,Clinton
Connecticut,09,823360,637919,7,Clinton
Delaware,10,235581,185103,3,Clinton
District of Columbia,11,260223,11553,3,Clinton
Florida,12,4485745,4605515,29,Trump
Georgia,13,1837300,2068623,16,Trump
Hawaii,15,266827,128815,4,Clinton
Idaho,16,189677,407199,4,Trump
Illinois,17,2977498,2118179,20,Clinton
Indiana,18,1031953,1556220,11,Trump
Iowa,19,650790,798923,6,Trump
Kansas,20,414788,656009,6,Trump
Kentucky,21,628834,1202942,8,Trump
Louisiana,22,779535,1178004,8,Trump
Maine,23,354873,334838,4,Clinton
Maryland,24,1497951,873646,10,Clinton
Massachusetts,25,1964768,1083069,11,Clinton
Michigan,26,2267373,2279210,16,Trump
Minnesota,27,1366676,1322891,10,Clinton
Mississippi,28,462001,678457,6,Trump
Missouri,29,1054889,1585753,10,Trump
Montana,30,174521,274120,3,Trump
Nebraska,31,273858,485819,5,Trump
Nevada,32,537753,511319,6,Clinton
New Hampshire,33,348126,345598,4,Clinton
New Jersey,34,2021756,1535513,14,Clinton
New Mexico,35,380724,315875,5,Clinton
New York,36,4143874,2640570,29,Clinton
North Carolina,37,2162074,2339603,15,Trump
North Dakota,38,93526,216133,3,Trump
Ohio,39,2317001,2771984,18,Trump
Oklahoma,40,419788,947934,7,Trump
Oregon,41,934631,742506,7,Clinton
Pennsylvania,42,2844705,2912941,20,Trump
Rhode Island,44,249902,179421,4,Clinton
South Carolina,45,849469,1143611,9,Trump
South Dakota,46,117442,227701,3,Trump
Tennessee,47,867110,1517402,11,Trump
Texas,48,3867816,4681590,38,Trump
Utah,49,237241,397004,6,Trump
Vermont,50,178117,95050,3,Clinton
Virginia,51,1916845,1731156,13,Clinton
Washington,53,1364934,950710,12,Clinton
West Virginia,54,187457,486198,5,Trump
Wisconsin,55,1382210,1409467,10,Trump
Wyoming,56,55949,174248,3,Trump
Puerto Rico,52,1,1,0,N/A
