fips,name,type,state,clinton,trump,mcmullin,johnson,stein,totalvote,winner,Income,Median_HI,Under18_POV,pop_Total,pop_Males,pop_Females,pop_White,pop_Black,pop_Amrind,pop_Asian,pop_Latino,bachelor,master_Phd
0500000US01001,Autauga,County,Alabama,5908,18110,0,538,105,24871,Trump,23774,53081,2264,54571,26569,28002,42855,9643,232,474,1310,4587,1727
0500000US01003,Baldwin,County,Alabama,18409,72780,0,2448,453,95044,Trump,26197,48637,8070,182265,89196,93069,156153,17105,1216,1348,7992,20721,7921
0500000US01005,Barbour,County,Alabama,4848,5431,0,93,18,10423,Trump,15842,28802,2690,27457,14576,12881,13180,12875,114,107,1387,1399,706
0500000US01007,Bibb,County,Alabama,1874,6733,0,124,17,8814,Trump,18953,38294,1278,22915,12301,10614,17381,5047,64,22,406,1143,411
0500000US01009,Blount,County,Alabama,2150,22808,0,337,89,25530,Trump,20360,41520,2849,57322,28362,28960,53068,761,307,117,4626,3177,1263
0500000US01011,Bullock,County,Alabama,3530,1139,0,22,10,4709,Clinton,17746,24206,1063,10914,5912,5002,2507,7666,23,20,777,429,256
0500000US01013,Butler,County,Alabama,3716,4891,0,65,13,8712,Trump,17221,27794,1897,20947,9838,11109,11399,9095,60,177,191,1280,418
0500000US01015,Calhoun,County,Alabama,13197,32803,0,1114,262,47754,Trump,21372,37340,6999,118572,57176,61396,88840,24382,540,845,3893,7902,4653
0500000US01017,Chambers,County,Alabama,5763,7803,0,168,44,13839,Trump,17072,30621,2306,34215,16363,17852,20112,13257,69,168,536,1723,786
0500000US01019,Cherokee,County,Alabama,1545,8937,0,147,26,10715,Trump,20434,38024,1425,25989,12888,13101,24081,1208,135,54,320,1092,708
0500000US01021,Chilton,County,Alabama,2909,15068,0,226,52,18351,Trump,20326,38916,2851,43643,21608,22035,36713,4230,155,130,3420,1911,1044
0500000US01023,Choctaw,County,Alabama,3109,4102,0,51,6,7287,Trump,16193,31067,965,13859,6688,7171,7731,6012,18,12,73,676,330
0500000US01025,Clarke,County,Alabama,5712,7109,0,98,17,12962,Trump,16790,32729,2500,25833,12214,13619,14070,11336,103,77,271,1507,794
0500000US01027,Clay,County,Alabama,1234,5230,0,92,16,6605,Trump,18267,34831,743,13932,6833,7099,11380,2066,55,24,399,567,277
0500000US01029,Cleburne,County,Alabama,684,5738,0,90,20,6567,Trump,18365,37870,850,14972,7453,7519,14079,498,51,23,307,657,416
0500000US01031,Coffee,County,Alabama,4194,15825,0,392,102,20684,Trump,22706,43296,2836,49948,24684,25264,37330,8359,645,644,3180,4304,2012
0500000US01033,Colbert,County,Alabama,7296,16718,0,506,106,24864,Trump,21689,37111,2953,54428,26159,28269,43789,8768,267,229,1093,4161,1975
0500000US01035,Conecuh,County,Alabama,3069,3413,0,51,10,6567,Trump,16960,26882,1157,13228,6412,6816,6788,6149,44,17,161,471,264
0500000US01037,Coosa,County,Alabama,1780,3376,0,53,14,5245,Trump,18563,34795,527,11539,5727,5812,7648,3582,40,16,230,436,235
0500000US01039,Covington,County,Alabama,2379,13222,0,181,36,15884,Trump,18958,32179,2645,37765,18288,19477,32022,4716,214,155,483,2164,1137
0500000US01041,Crenshaw,County,Alabama,1663,4511,0,64,14,6263,Trump,19900,31849,955,13906,6714,7192,10097,3254,57,189,204,675,369
0500000US01043,Cullman,County,Alabama,3730,32734,0,682,132,37538,Trump,20339,37425,4835,80406,39719,40687,76133,856,408,343,3454,4499,2317
0500000US01045,Dale,County,Alabama,4408,13798,0,349,62,18732,Trump,21299,41279,2991,50251,24825,25426,37236,9679,371,534,2821,3533,1385
0500000US01047,Dallas,County,Alabama,12826,5784,0,96,24,18777,Clinton,16304,27088,5912,43820,20244,23576,12769,30423,85,149,309,2229,1561
0500000US01049,DeKalb,County,Alabama,3682,21779,0,469,156,26278,Trump,17552,33919,5619,71109,35113,35996,60087,1078,969,203,9690,2794,1433
0500000US01051,Elmore,County,Alabama,8436,27619,0,738,112,37237,Trump,21866,50194,3669,79303,38689,40614,60455,15900,285,518,2129,6367,2606
0500000US01053,Escambia,County,Alabama,4698,10282,0,195,38,15297,Trump,16711,31443,2541,38319,19766,18553,23784,12220,1288,92,718,1911,1002
0500000US01055,Etowah,County,Alabama,10350,32132,0,829,163,43840,Trump,20354,38575,6296,104430,50626,53804,83823,15796,448,672,3447,6844,3693
0500000US01057,Fayette,County,Alabama,1358,6705,0,109,24,8237,Trump,18228,34262,1023,17241,8507,8734,14910,1969,52,37,204,736,434
0500000US01059,Franklin,County,Alabama,2197,9466,0,238,54,12040,Trump,17610,32588,2310,31704,15828,15876,26320,1228,215,63,4710,1389,784
0500000US01061,Geneva,County,Alabama,1522,9967,0,147,23,11725,Trump,17697,31347,1672,26790,13105,13685,23127,2539,224,67,920,956,547
0500000US01063,Greene,County,Alabama,4006,838,0,13,5,4873,Clinton,14564,26131,884,9045,4271,4774,1575,7370,17,15,69,293,195
0500000US01065,Hale,County,Alabama,4772,3172,0,54,12,8036,Clinton,15221,30124,1568,15760,7466,8294,6266,9301,25,35,140,625,317
0500000US01067,Henry,County,Alabama,2286,5623,0,91,17,8057,Trump,18438,35215,1110,17302,8302,9000,11865,4942,57,54,389,1009,528
0500000US01069,Houston,County,Alabama,10547,30567,0,772,144,42352,Trump,22797,38751,6462,101547,48740,52807,71053,26176,446,820,2995,8170,3703
0500000US01071,Jackson,County,Alabama,3663,16643,0,389,90,20939,Trump,18742,35015,2841,53227,26139,27088,48348,1781,719,185,1339,2730,1398
0500000US01073,Jefferson,County,Alabama,156384,134498,0,6613,1540,303361,Clinton,26256,43312,35746,658466,311813,346653,349166,276525,1740,9158,25488,77741,37967
0500000US01075,Lamar,County,Alabama,1035,5819,0,62,15,6961,Trump,19926,31226,780,14564,7097,7467,12626,1643,24,4,180,584,255
0500000US01077,Lauderdale,County,Alabama,9877,27735,0,981,220,39275,Trump,21737,39096,4061,92709,44379,48330,80112,9257,338,685,2082,7902,3863
0500000US01079,Lawrence,County,Alabama,3611,10732,0,249,31,14711,Trump,19795,36311,1778,34339,16791,17548,26647,3938,1953,42,574,1718,564
0500000US01081,Lee,County,Alabama,20987,34321,0,1998,362,58607,Trump,22384,37836,6097,140247,69126,71121,100006,31901,445,3658,4571,11871,7949
0500000US01083,Limestone,County,Alabama,9340,28824,0,1036,200,39899,Trump,21943,46610,3543,82782,41910,40872,66506,10429,547,924,4591,6338,2183
0500000US01085,Lowndes,County,Alabama,4882,1751,0,32,11,6683,Clinton,16466,28100,1239,11299,5289,6010,2859,8310,25,14,87,749,298
0500000US01087,Macon,County,Alabama,7237,1394,0,69,48,8773,Clinton,15494,26328,1934,21452,9826,11626,3319,17729,29,76,232,1362,1171
0500000US01089,Madison,County,Alabama,62435,89199,0,6591,1248,162634,Trump,29588,57327,11438,334811,164320,170491,228280,80376,2551,8265,15404,50739,20853
0500000US01091,Marengo,County,Alabama,5607,5224,0,104,13,10977,Clinton,17403,31867,1717,21027,9913,11114,9751,10872,34,53,352,1496,627
0500000US01093,Marion,County,Alabama,1432,11273,0,181,26,12983,Trump,18654,32317,1939,30776,15293,15483,28791,1184,101,54,632,1062,662
0500000US01095,Marshall,County,Alabama,4913,29217,0,677,158,35294,Trump,19654,37506,6210,93019,45843,47176,81464,1494,706,478,11238,5441,2642
0500000US01097,Mobile,County,Alabama,71001,94002,0,3232,777,169012,Trump,21274,39828,28553,412992,198374,214618,248647,142992,3681,7561,9936,33595,16126
0500000US01099,Monroe,County,Alabama,4310,5771,0,88,16,10222,Trump,17951,30920,1875,23068,11109,11959,12718,9614,260,67,220,1158,691
0500000US01101,Montgomery,County,Alabama,58669,33928,0,1486,489,95553,Trump,25102,41084,16024,229363,109167,120196,90656,125477,589,4821,8314,25914,15674
0500000US01103,Morgan,County,Alabama,11216,37392,0,1165,218,50509,Trump,22758,40317,6638,119490,58886,60604,95404,14185,1042,691,9156,10431,4203
0500000US01105,Perry,County,Alabama,3823,1403,0,23,6,5273,Clinton,14266,24351,1339,10591,4980,5611,3204,7276,17,30,114,395,336
0500000US01107,Pickens,County,Alabama,3972,5454,0,49,19,9540,Trump,16475,29677,1516,19746,9428,10318,11110,8211,28,36,313,1082,450
0500000US01109,Pike,County,Alabama,5039,7681,0,257,48,13139,Trump,19085,31229,2237,32899,15700,17199,19144,12054,192,654,730,2316,1246
0500000US01111,Randolph,County,Alabama,2290,7697,0,124,19,10178,Trump,18813,33869,1460,22913,11104,11809,17532,4607,84,55,649,1120,560
0500000US01113,Russell,County,Alabama,9577,9210,0,281,68,19252,Clinton,18386,33537,3879,52947,25287,27660,28449,22135,219,236,1946,2623,1101
0500000US01115,St. Clair,County,Alabama,5550,31579,0,678,130,38281,Trump,21067,45601,3650,83593,41904,41689,73741,7150,281,518,1716,4985,1540
0500000US01117,Shelby,County,Alabama,22927,72846,0,2956,479,101018,Trump,33607,65408,4969,195085,95557,99528,161943,20732,553,3726,11567,33515,10569
0500000US01119,Sumter,County,Alabama,4739,1581,0,57,14,6404,Clinton,13667,22857,1269,13763,6261,7502,3326,10316,11,33,86,614,447
0500000US01121,Talladega,County,Alabama,12108,20596,0,409,105,33372,Trump,18710,37260,4831,82291,40077,42214,53739,26055,264,339,1671,3898,2288
0500000US01123,Tallapoosa,County,Alabama,5495,13546,0,232,52,19413,Trump,22595,35702,2523,41616,20190,21426,29087,11083,121,197,1042,2803,1333
0500000US01125,Tuscaloosa,County,Alabama,31746,47701,0,1871,390,82660,Trump,22489,41842,9256,194656,94400,100256,129004,57611,526,2306,5949,16359,9611
0500000US01127,Walker,County,Alabama,4486,24208,0,454,95,29402,Trump,20321,36582,3525,67023,32668,34355,61146,3928,251,195,1307,2602,1810
0500000US01129,Washington,County,Alabama,2366,6031,0,73,22,8514,Trump,17748,36946,1080,17581,8656,8925,11508,4380,1411,20,151,745,342
0500000US01131,Wilcox,County,Alabama,4329,1737,0,22,7,6108,Clinton,12258,22611,1671,11670,5518,6152,3126,8465,14,4,72,1071,205
0500000US01133,Winston,County,Alabama,871,9225,0,130,29,10307,Trump,16855,31062,1910,24484,12021,12463,23409,115,163,60,639,1047,665
0500000US02013,Aleutians East,County,Alaska,0,0,0,0,0,0,N/A,21788,50444,39,3141,2093,1048,660,219,876,1130,385,246,35
0500000US02016,Aleutians West,County,Alaska,0,0,0,0,0,0,N/A,34966,58174,58,5561,3723,1838,2004,332,857,1606,726,302,85
0500000US02020,Anchorage,County,Alaska,0,0,0,0,0,0,N/A,33436,72210,7528,291826,148209,143617,192498,16226,23130,23580,22061,36159,16375
0500000US02050,Bethel,County,Alaska,0,0,0,0,0,0,N/A,18169,41810,1692,17013,8898,8115,1894,65,14109,160,181,818,390
0500000US02060,Bristol Bay,County,Alaska,0,0,0,0,0,0,N/A,28662,64418,21,997,540,457,481,0,334,8,24,49,64
0500000US02068,Denali,County,Alaska,0,0,0,0,0,0,N/A,44689,62615,16,1826,1002,824,1637,10,65,19,42,231,70
0500000US02070,Dillingham,County,Alaska,0,0,0,0,0,0,N/A,23324,46580,379,4847,2541,2306,878,11,3470,32,101,313,161
0500000US02090,Fairbanks North Star,County,Alaska,0,0,0,0,0,0,N/A,28373,64691,2563,97581,51531,46050,75175,4423,6879,2591,5651,8495,5109
0500000US02100,Haines,County,Alaska,0,0,0,0,0,0,N/A,28843,48644,67,2508,1274,1234,2086,10,230,14,47,466,88
0500000US02105,Hoonah-Angoon,County,Alaska,0,0,0,0,0,0,N/A,23169,41824,116,2150,1165,985,1014,8,890,12,77,232,122
0500000US02110,Juneau,County,Alaska,0,0,0,0,0,0,N/A,34880,73044,580,31275,15950,15325,21814,279,3692,1919,1588,4790,2582
0500000US02122,Kenai Peninsula,County,Alaska,0,0,0,0,0,0,N/A,26940,57171,1493,55400,29038,26362,46857,269,4081,631,1641,4736,2108
0500000US02130,Ketchikan Gateway,County,Alaska,0,0,0,0,0,0,N/A,29867,58492,348,13477,6911,6566,9176,78,1910,943,538,1403,525
0500000US02150,Kodiak Island,County,Alaska,0,0,0,0,0,0,N/A,26862,62574,312,13592,7197,6395,7522,92,1797,2660,996,1158,454
0500000US02164,Lake and Peninsula,County,Alaska,0,0,0,0,0,0,N/A,16450,42236,87,1631,859,772,380,9,1061,6,43,75,35
0500000US02170,Matanuska-Susitna,County,Alaska,0,0,0,0,0,0,N/A,24906,70442,2686,88995,46040,42955,75540,856,4901,1096,3301,6914,2086
0500000US02180,Nome,County,Alaska,0,0,0,0,0,0,N/A,20452,48174,844,9492,5058,4434,1552,27,7199,96,115,508,240
